objectid,filename,parentid,artist,title,place_of_creation,year_produced,edition_size,dimensions,expanded_dimensions,description,genre,process_technique,materials,structure_physical_format,enclosure,subject,use,holding_collection,object_location,format,file_size,file_date,rights,display_template,image_small,image_thumb
hex0001,,,"Oliver, ""Ollie"", Lily",Hex,"Center for the Book, Iowa City, IA",2024,one-of-a-kind,"5 x 5x 0.75"" ","5 x 5 x 6.75""","A thirty page book made of five pamphlets sewn into an accordion. Can be tied into 
a codex form or opened to the full accordion length. The first three page burnouts 
spell the word 'HEX'. Burn images were made by tracing the outline of the shape
with water and then burning out the inside. ",wordless/ visual,Water manipulation; burning,found object; thread; handmade paper; papermaking fiber: paper mulberry (kozo/dak),Accordian,,,artistic work,,/objects/hex0001.jpg,multiple,100 KB,2025-04-01,CC BY-NC,multiple,/objects/small/hex0001.jpg,/objects/thumbs/hex0001.jpg
hex0002,hex0001.jpg,hex0001,,Hex Exterior,,,,,,,,,,,,,,,,image/jpg,,,,,,
hex0003,hex0002.jpg,hex0001,,Hex 2,,,,,,,,,,,,,,,/objects/hex0002.jpg,image/jpg,95 KB,2025-04-01,,image,,
hex0004,hex0003.jpg,hex0001,,Hex 3,,,,,,,,,,,,,,,/objects/hex0003.jpg,image/jpg,128 KB,2025-04-01,,image,,
intimacy0001,,,"Oliver, ""Ollie"", Lily",Intimacy,"Center for the Book, Iowa City, IA",2024,one-of-a-kind,"3 x 2.75""",,"A six page pamphlet printed on transparent mylar. Each page is the progression of 
an edit of a single poem-- having the finished poem on the last page. The text is 
aligned so that looking through the cover of the book, words that appear throughout
all five iterations of the poem are the most opaque.",poetry,digital printing,plastics; thread,pamphlet,,queer intimacy; poetry; wlw; LGBTQIA,artistic work,,/objects/intimacy0001.jpg,multiple,76 KB,2025-04-01,CC BY-NC,multiple,/objects/small/intimacy0001.jpg,/objects/thumbs/intimacy0001.jpg
intimacy0002,intimacy0001.jpg,intimacy0001,,Intimacy 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
intimacy0003,intimacy0002.jpg,intimacy0001,,Intimacy 2,,,,,,,,,,,,,,,/objects/intimacy0002.jpg,image/jpg,107 KB,2025-04-01,,image,,
kendall0001,,,"Oliver, ""Ollie"", Lily",Kendall Journal,"Center for the Book, Iowa City, IA",2024,one-of-a-kind,"6 x 8 x 0.5""",,"A blank journal made as a structural demo of a slotted tape binding. The slotted tape
binding is a contemporary adaption of historical paper case bindings. Decorative 
touches have been added by constructing the tapes out of photo prints and weaving
them through the cover. The title comes from the name of the street pictured in the 
weaving. ",blank journal,collage; digital printing; photography,handmade paper; machine-made paper; mixed media; thread,soft cover; slotted tape,,,Book Model,,/objects/kendall0001.jpg,multiple,128 KB,2025-04-01,CC BY-NC,multiple,/objects/small/kendall0001.jpg,/objects/thumbs/kendall0001.jpg
kendall0002,kendall0001.jpg,kendall0001,,Kendall Journal 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
kendall0003,kendall0002.jpg,kendall0001,,Kendall Journal 2,,,,,,,,,,,,,,,/objects/kendall0002.jpg,image/jpg,99 KB,2025-04-01,,image,,
link0001,,,"Oliver, ""Ollie"", Lily",Link & Page Journal,"Center for the Book, Iowa City, IA",2025,one-of-a-kind,"5 x 6 x 1""",,"A blank journal reverse engineered from a structure by Shannon Mou of Link & 
Page. Outside signatures are covered with a cloth guard and sewn long stitch over
tapes. Then, additional holes are punched and the signatures are then sewn in the 
french-web style. To finish, boards are covered and then attached to the cloth guards.",blank journal,,binders board; decorative paper; machine-made paper; beads; thread,compound structure; exposed sewing; hard cover; web-stitch/french sewn,,,Book Model,,/objects/link0001.jpg,multiple,157 KB,2025-04-01,CC BY-NC,multiple,/objects/small/link0001.jpg,/objects/thumbs/link0001.jpg
link0002,link0001.jpg,link0001,,Link & Page Journal 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
link0003,link0002.jpg,link0001,,Link & Page Journal 2,,,,,,,,,,,,,,,/objects/link0002.jpg,image/jpg,134 KB,2025-04-01,,image,,
smudge0001,,,"Oliver, ""Ollie"", Lily",Smudge,"Center for the Book, Iowa City, IA",2024,open edition,"2.75 x 4.25""",,"A ten page zine made of cut and collaged photos of the artist's cat, Smudge. Done 
in various hand lettered fonts, the book lists Smudge's nicknames, from ""wittle miss 
white wips"" to ""portrait of decadence"" with corresponding personality pictures. ",zine,digital printing; collage; handlettering/ handwritten;,machine-made paper; metal,stapled,,cats; names; nicknames,Artistic work,,/objects/smudge0001.jpg,multiple,74 KB,2025-04-01,CC BY-NC,multiple,/objects/small/smudge0001.jpg,/objects/thumbs/smudge0001.jpg
smudge0002,smudge0001.jpg,smudge0001,,Smudge 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
smudge0003,smudge0002.jpg,smudge0001,,Smudge 2,,,,,,,,,,,,,,,/objects/smudge0002.jpg,image/jpg,111 KB,2025-04-01,,image,,
red0001,,,"Oliver, ""Ollie"", Lily",Red Journal,"Center for the Book, Iowa City, IA",2024,one-of-a-kind,"3.75 x 4 x 0.5""",,"A seven signature blank journal made as a structural demo of a link stitch. Signatures
have cloth guards and is bound with a soft cover. ",blank journal,,fabric; machine-made paper; thread,link stitch; soft cover; exposed sewing,,,Book Model,,/objects/red0001.jpg,multiple,83 KB,2025-04-01,CC BY-NC,multiple,/objects/small/red0001.jpg,/objects/thumbs/red0001.jpg
red0002,red0001.jpg,red0001,,Red Journal 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
red0003,red0002.jpg,red0001,,Red Journal 2,,,,,,,,,,,,,,,/objects/red0002.jpg,image/jpg,80 KB,2025-04-01,,image,,
tattoo0001,,,"Oliver, ""Ollie"", Lily",Tattoo Book Deluxe,"Center for the Book, Iowa City, IA",2025,open edition,"4.75 x 5.25 x 2"" ",,"A twenty-two page photo album of the artist's tattoos, captured on a flatbed scanner.
Each photo frame includes stylized and distorted text, naming the tattoo, the year 
inked, and the general location of the appointment. From the artist's statement: I was 
interested in documenting the body’s current state, especially through a process 
that simultaneously objectifies and abstracts it. I liked the implications of the flatbed 
scanner as well, using it to copy and document the information of the body. The 
kerning has been adjusted to transition the text from individual characters towards 
more asemic expressions to be viewed as imagery, rather than text. My intention for 
this project was to further develop the ideas of objectification through image making, 
the obscurity of information, and “sterile” data collection of organic information.",photo bookwork,digital printing; laser cutting/ CNC cutting; photography;,binders board; book cloth; found object; machine-made paper; metal,album; hard cover; spiral/ comb binding,,tattoos; photography; documentation; female body,Artistic work,,/objects/tattoo0001.jpg,multiple,115 KB,2025-04-01,CC BY-NC,multiple,/objects/small/tattoo0001.jpg,/objects/thumbs/tattoo0001.jpg
tattoo0002,tattoo0001.jpg,tattoo0001,,Tattoo Book Deluxe 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
tattoo0003,tattoo0002.jpg,tattoo0001,,Tattoo Book Deluxe 2,,,,,,,,,,,,,,,/objects/tattoo0002.jpg,image/jpg,155 KB,2025-04-01,,image,,
sweatshirt0001,,,"Oliver, ""Ollie"", Lily",To All The Thrifted Sweatshirts We Cut Too Short!,"School of the Musuem of Fine Art, Boston, MA",2019,one-of-a-kind,"2 x 1.75 x 0.25""",,"A five page book illustrated with ink and paint. Pages are bound back to back with
adhesive. Comes with slipcase wrapped in sweatshirt fabric. ",comic,drawing; paper cutting;,ink; fabric; machine-made paper; paint;,miniature book,slipcase,clothing; alteration,artistic work,,/objects/sweatshirt0001.jpg,multiple,77 KB,2025-04-01,CC BY-NC,multiple,/objects/small/sweatshirt0001.jpg,/objects/thumbs/sweatshirt0001.jpg
sweatshirt0002,sweatshirt0001.jpg,sweatshirt0001,,To All The Thrifted Sweatshirts We Cut Too Short! 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
sweatshirt0003,sweatshirt0002.jpg,sweatshirt0001,,To All The Thrifted Sweatshirts We Cut Too Short! 2,,,,,,,,,,,,,,,/objects/sweatshirt0002.jpg,image/jpg,68 KB,2025-04-01,,image,,
cloud0001,,,"Oliver, ""Ollie"", Lily",Cloud Journal,"Somerville, MA",2021,open edition,"5.5 x 8.25 x 0.75""",,"A blank journal made to test the quilting qualities of kozo. The cover is comprised of
batting sandwiched between kozo and a thicker western sheet, sewn with a sewing
machine.",blank journal,,handmade paper; machine-made paper; thread; batting,exposed sewing; pamphlet; soft cover,,,book model,,/objects/cloud0001.jpg,multiple,117 KB,2025-04-01,CC BY-NC,multiple,/objects/small/cloud0001.jpg,/objects/thumbs/cloud0001.jpg
cloud0002,cloud0001.jpg,cloud0001,,Cloud Journal 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
cloud0003,cloud0002.jpg,cloud0001,,Cloud Journal 2,,,,,,,,,,,,,,,/objects/cloud0002.jpg,image/jpg,107 KB,2025-04-01,,image,,
